loss,hyperparameters,iteration,runtime,score
0.22554896873641128,"{'subsample': 0.8105653641635936, 'num_leaves': 109, 'n_estimators': 9000, 'reg_lambda': 0.2353317785566113, 'learning_rate': 0.050379076961176314, 'min_split_gain': 0.0023232121538562245, 'is_unbalance': False, 'min_child_weight': 53, 'colsample_bytree': 0.7103497278843037, 'max_depth': 9, 'reg_alpha': 0.4721961110803429}",1,102.47482252099996,0.7744510312635887
0.22571138885748598,"{'subsample': 0.913106644865543, 'num_leaves': 48, 'n_estimators': 11000, 'reg_lambda': 0.33734888950264286, 'learning_rate': 0.07678902101282811, 'min_split_gain': 0.38858454460753006, 'is_unbalance': False, 'min_child_weight': 64, 'colsample_bytree': 0.6486375136107184, 'max_depth': 10, 'reg_alpha': 0.09426211249409339}",2,25.822338223999964,0.774288611142514
0.22743705782670243,"{'subsample': 0.610997164025988, 'num_leaves': 24, 'n_estimators': 5000, 'reg_lambda': 0.38767356801286074, 'learning_rate': 0.11769095718620186, 'min_split_gain': 0.18259066949210734, 'is_unbalance': False, 'min_child_weight': 11, 'colsample_bytree': 0.6751092255456763, 'max_depth': 7, 'reg_alpha': 0.34159594099749385}",3,30.761838493000027,0.7725629421732976
0.22888842057495884,"{'subsample': 0.9368647020598363, 'num_leaves': 55, 'n_estimators': 9000, 'reg_lambda': 0.3427382685122218, 'learning_rate': 0.16420461695684763, 'min_split_gain': 0.3073020850499907, 'is_unbalance': True, 'min_child_weight': 11, 'colsample_bytree': 0.9120614361695694, 'max_depth': 8, 'reg_alpha': 0.3200067976611103}",4,17.952600198999903,0.7711115794250412
0.22372389625490574,"{'subsample': 0.9693284198129416, 'num_leaves': 81, 'n_estimators': 14000, 'reg_lambda': 0.29397924603219266, 'learning_rate': 0.025257910089450563, 'min_split_gain': 0.3767307169890939, 'is_unbalance': True, 'min_child_weight': 45, 'colsample_bytree': 0.7497495325711188, 'max_depth': 8, 'reg_alpha': 0.10450214072948943}",5,78.02872656499994,0.7762761037450943
0.2345517671910613,"{'subsample': 0.9170085224843696, 'num_leaves': 145, 'n_estimators': 16000, 'reg_lambda': 0.11053023164053577, 'learning_rate': 0.19981924252565605, 'min_split_gain': 0.4782004603464074, 'is_unbalance': True, 'min_child_weight': 18, 'colsample_bytree': 0.8916142118384582, 'max_depth': 10, 'reg_alpha': 0.4592553058741573}",6,14.71114836300012,0.7654482328089387
0.22387113732197106,"{'subsample': 0.9214262247734785, 'num_leaves': 80, 'n_estimators': 13000, 'reg_lambda': 0.19867278504890407, 'learning_rate': 0.01611989502191108, 'min_split_gain': 0.05847495486927057, 'is_unbalance': False, 'min_child_weight': 32, 'colsample_bytree': 0.9949667738959481, 'max_depth': 8, 'reg_alpha': 0.21645275671095726}",7,254.10069393000003,0.7761288626780289
0.2231307634331422,"{'subsample': 0.9952433253646429, 'num_leaves': 119, 'n_estimators': 13000, 'reg_lambda': 0.47394150385483097, 'learning_rate': 0.03707914758505702, 'min_split_gain': 0.12315698873098702, 'is_unbalance': True, 'min_child_weight': 57, 'colsample_bytree': 0.6972594382364008, 'max_depth': 5, 'reg_alpha': 0.1343994428473816}",8,95.04610158800006,0.7768692365668578
0.22702763072946364,"{'subsample': 0.9237566297782023, 'num_leaves': 80, 'n_estimators': 2000, 'reg_lambda': 0.2802237622784722, 'learning_rate': 0.0925244850885743, 'min_split_gain': 0.43190595782292507, 'is_unbalance': False, 'min_child_weight': 73, 'colsample_bytree': 0.9684024814050894, 'max_depth': 14, 'reg_alpha': 0.18973545600119396}",9,24.81880309600001,0.7729723692705364
0.22406657440093936,"{'subsample': 0.9492350521095837, 'num_leaves': 47, 'n_estimators': 20000, 'reg_lambda': 0.3053599138277515, 'learning_rate': 0.012989076020148819, 'min_split_gain': 0.47110530277496465, 'is_unbalance': True, 'min_child_weight': 82, 'colsample_bytree': 0.8018137861687311, 'max_depth': 11, 'reg_alpha': 0.07556840192182307}",10,123.74119718099996,0.7759334255990606
0.2236437084663876,"{'subsample': 0.7589312026072409, 'num_leaves': 120, 'n_estimators': 5000, 'reg_lambda': 0.4153276869530667, 'learning_rate': 0.01040236580336495, 'min_split_gain': 0.2635997983545981, 'is_unbalance': True, 'min_child_weight': 11, 'colsample_bytree': 0.9906123209318771, 'max_depth': 5, 'reg_alpha': 0.2705249854614978}",11,232.82010022400004,0.7763562915336124
0.22258010041549048,"{'subsample': 0.8645146912759283, 'num_leaves': 82, 'n_estimators': 11000, 'reg_lambda': 0.0890712509322027, 'learning_rate': 0.02041614238655404, 'min_split_gain': 0.011487316997805974, 'is_unbalance': True, 'min_child_weight': 77, 'colsample_bytree': 0.7734205256009221, 'max_depth': 10, 'reg_alpha': 0.419619163491884}",12,208.32016562400008,0.7774198995845095
0.22401867679231802,"{'subsample': 0.735340623292605, 'num_leaves': 107, 'n_estimators': 6000, 'reg_lambda': 0.21075206806002594, 'learning_rate': 0.01716234884531777, 'min_split_gain': 0.3822936969299761, 'is_unbalance': True, 'min_child_weight': 6, 'colsample_bytree': 0.999924137842545, 'max_depth': 10, 'reg_alpha': 0.4135729656470941}",13,130.57755496200025,0.775981323207682
0.22286697319307958,"{'subsample': 0.9673912297125145, 'num_leaves': 68, 'n_estimators': 15000, 'reg_lambda': 0.22248070972227002, 'learning_rate': 0.021003934882504953, 'min_split_gain': 0.30019911635668123, 'is_unbalance': False, 'min_child_weight': 42, 'colsample_bytree': 0.9336911384859542, 'max_depth': 9, 'reg_alpha': 0.32103210946245064}",14,119.68399026399993,0.7771330268069204
