loss,hyperparameters,iteration,runtime,score
0.23435483526855183,"{'colsample_bytree': 0.6127451407596138, 'gamma': 0.7773560887521102, 'leaning_rate': 0.020977410361253612, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6801617395397453}",1,299.26045332900003,0.7656451647314482
0.23349652799639986,"{'colsample_bytree': 0.5147313875691404, 'gamma': 0.19554623394761128, 'leaning_rate': 0.030604362354283984, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6942174282802183}",2,263.72161538000023,0.7665034720036001
0.22887314582301632,"{'colsample_bytree': 0.998955160985608, 'gamma': 0.1657164566565883, 'leaning_rate': 0.03209040474117187, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.671149971794491}",3,239.55401061800012,0.7711268541769837
0.23076376744044014,"{'colsample_bytree': 0.8501915795005938, 'gamma': 0.8565029000574672, 'leaning_rate': 0.032561208747289794, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5924089614143151}",4,374.29897218700035,0.7692362325595599
0.22918937588415556,"{'colsample_bytree': 0.7674264367616072, 'gamma': 0.6571217239535683, 'leaning_rate': 0.10527578948663242, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.823421679002451}",5,310.09441738500027,0.7708106241158444
0.22895245604899794,"{'colsample_bytree': 0.6208748168334148, 'gamma': 0.18771861715110016, 'leaning_rate': 0.19543928379958023, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6734915555547403}",6,167.31263116299988,0.7710475439510021
0.22887118395583916,"{'colsample_bytree': 0.6879916584067688, 'gamma': 0.964515250790302, 'leaning_rate': 0.011816369864876303, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6670586328975345}",7,212.898692794,0.7711288160441608
0.229228310950925,"{'colsample_bytree': 0.5877686321173968, 'gamma': 0.0528313093990288, 'leaning_rate': 0.09549780069851065, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.8494213821854175}",8,190.89139628500016,0.770771689049075
0.22978817358823445,"{'colsample_bytree': 0.7595174914853382, 'gamma': 0.41853471361598904, 'leaning_rate': 0.18723508500436165, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.7520511036523592}",9,308.26227651900035,0.7702118264117656
0.2362706828929071,"{'colsample_bytree': 0.7341197999510817, 'gamma': 0.019991193383341987, 'leaning_rate': 0.012642799146765549, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.7471498624176329}",10,123.22536669400051,0.7637293171070929
0.22968501415678821,"{'colsample_bytree': 0.6852872983663361, 'gamma': 0.6345297142260783, 'leaning_rate': 0.12202190379085089, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5070281268043739}",11,241.89716933199998,0.7703149858432118
0.23630489421029655,"{'colsample_bytree': 0.9492891780130861, 'gamma': 0.9045271992199008, 'leaning_rate': 0.03356755068901414, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9996604973589776}",12,145.931304103,0.7636951057897035
0.22852539064887312,"{'colsample_bytree': 0.6320830799869366, 'gamma': 0.14955659431689527, 'leaning_rate': 0.09801911189790496, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.5549277672927032}",13,230.32773959299993,0.7714746093511269
0.22787914351919702,"{'colsample_bytree': 0.7447890486327878, 'gamma': 0.03210242751770098, 'leaning_rate': 0.05634592785454937, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.9810852429180457}",14,226.5867213649999,0.772120856480803
0.22931254381983046,"{'colsample_bytree': 0.958790234588818, 'gamma': 0.6804131984474516, 'leaning_rate': 0.05523573154728289, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.5744007689865516}",15,230.74937605300056,0.7706874561801695
0.22831487387709404,"{'colsample_bytree': 0.8783177601837409, 'gamma': 0.2516213266721574, 'leaning_rate': 0.06075579848028713, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.7505734203042136}",16,216.38015439399987,0.771685126122906
0.22968983253793263,"{'colsample_bytree': 0.5423229165047856, 'gamma': 0.22193630271936549, 'leaning_rate': 0.01646898708911757, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.7014582682335062}",17,151.56084894600008,0.7703101674620674
0.22793798082762395,"{'colsample_bytree': 0.8395235979449291, 'gamma': 0.36906676190294385, 'leaning_rate': 0.06711925934845508, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7942539857852904}",18,289.68758509300005,0.772062019172376
0.22766324398330828,"{'colsample_bytree': 0.9672200604880097, 'gamma': 0.20180420194281445, 'leaning_rate': 0.013072162862074682, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.7193014138943065}",19,278.78358878700055,0.7723367560166917
0.22890117038237712,"{'colsample_bytree': 0.7571350103154699, 'gamma': 0.8383422522260897, 'leaning_rate': 0.08944008211509259, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9986304107295108}",20,192.50442449799993,0.7710988296176229
0.22741427088702526,"{'colsample_bytree': 0.8947500713510101, 'gamma': 0.3544957222295679, 'leaning_rate': 0.04477380275070025, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.9134627488168152}",21,260.77536747400063,0.7725857291129747
0.2313305159126111,"{'colsample_bytree': 0.9123524160739325, 'gamma': 0.34413896517344794, 'leaning_rate': 0.02224771741625436, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.9283952750086114}",22,181.4053499440006,0.7686694840873889
