hyperparameters,iteration,runtime,score
"{'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.3333333333333333, 'min_child_weight': 2, 'learning_rate': 0.013572855364473066, 'max_depth': 9}",29,931.9557741379995,0.774062741118852
"{'subsample': 0.5555555555555556, 'colsample_bytree': 0.5, 'gamma': 0.5555555555555556, 'min_child_weight': 6, 'learning_rate': 0.0013155281377929776, 'max_depth': 3}",30,202.54142835600032,0.7271261583515825
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.2222222222222222, 'min_child_weight': 5, 'learning_rate': 0.0004969115254823451, 'max_depth': 6}",31,493.090067647001,0.73713337248245
"{'subsample': 0.5, 'colsample_bytree': 0.7222222222222222, 'gamma': 1.0, 'min_child_weight': 3, 'learning_rate': 0.012493566969949434, 'max_depth': 9}",32,733.834024654001,0.7732889258953997
"{'subsample': 0.9444444444444444, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.8888888888888888, 'min_child_weight': 8, 'learning_rate': 0.0005361238294653393, 'max_depth': 5}",33,419.35679555800016,0.729614289434438
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.6666666666666666, 'min_child_weight': 1, 'learning_rate': 0.0059679095405248605, 'max_depth': 6}",34,500.41601611999977,0.7524172846271764
"{'subsample': 0.5, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.6666666666666666, 'min_child_weight': 6, 'learning_rate': 9.345147637523136e-05, 'max_depth': 4}",35,373.03867612199974,0.7173033939910567
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.1111111111111111, 'min_child_weight': 1, 'learning_rate': 0.01547558625731633, 'max_depth': 6}",36,454.70099182500053,0.7727415239821644
"{'subsample': 0.6111111111111112, 'colsample_bytree': 1.0, 'gamma': 0.3333333333333333, 'min_child_weight': 1, 'learning_rate': 0.012667295772163016, 'max_depth': 4}",37,409.24510430199734,0.761922937315255
"{'subsample': 0.8888888888888888, 'colsample_bytree': 1.0, 'gamma': 0.4444444444444444, 'min_child_weight': 1, 'learning_rate': 4.282817448685698e-05, 'max_depth': 3}",38,310.9748587089998,0.6957851535207927
"{'subsample': 0.9444444444444444, 'colsample_bytree': 0.8333333333333333, 'gamma': 0.6666666666666666, 'min_child_weight': 5, 'learning_rate': 0.0006371378213618505, 'max_depth': 5}",39,434.6727639660021,0.7275759621212808
"{'subsample': 0.8333333333333333, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.4444444444444444, 'min_child_weight': 2, 'learning_rate': 0.013479459871874004, 'max_depth': 7}",40,693.9268360030001,0.771995881561657
"{'subsample': 0.8333333333333333, 'colsample_bytree': 1.0, 'gamma': 0.5555555555555556, 'min_child_weight': 3, 'learning_rate': 3.5299218884135584e-05, 'max_depth': 8}",41,829.9383767709987,0.7304659164572198
"{'subsample': 0.5, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.3333333333333333, 'min_child_weight': 7, 'learning_rate': 0.0028116454312336636, 'max_depth': 9}",42,833.9360998909979,0.751503514051136
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.8888888888888888, 'min_child_weight': 6, 'learning_rate': 0.00109177816529856, 'max_depth': 4}",43,286.6198031870008,0.7315895123427678
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.1111111111111111, 'min_child_weight': 9, 'learning_rate': 0.004851324236321357, 'max_depth': 5}",44,379.0878343629993,0.7466314540590597
"{'subsample': 0.8333333333333333, 'colsample_bytree': 0.5, 'gamma': 0.4444444444444444, 'min_child_weight': 7, 'learning_rate': 0.00018008005404034723, 'max_depth': 3}",45,204.20527267700163,0.7229018516532639
